Index,Stream,OpDirn,ByteSize,Locality,Reg_Addr,Reg_Name,Reg_Payload,Tag,CmdSize,CmdCode/ResponseCode,Cmd_Name/Response_Name,Cmd_Payload/Response_Payload
115,MISO,READ,1,0,0x01C,RESERVED,80,,,,,
116,MOSI,READ,1,0,0x018,TPM_STS,00,,,,,
116,MISO,READ,1,0,0x018,TPM_STS,80,,,,,
117,MOSI,READ,1,0,0x01C,RESERVED,00,,,,,
117,MISO,READ,1,0,0x01C,RESERVED,80,,,,,
118,MOSI,READ,1,0,0x01C,RESERVED,00,,,,,
118,MISO,READ,1,0,0x01C,RESERVED,80,,,,,
119,MOSI,READ,1,0,0x018,TPM_STS,00,,,,,
119,MISO,READ,1,0,0x018,TPM_STS,80,,,,,
120,MOSI,READ,1,0,0x01C,RESERVED,00,,,,,
120,MISO,READ,1,0,0x01C,RESERVED,80,,,,,
121,MOSI,READ,1,0,0x018,TPM_STS,00,,,,,
121,MISO,READ,1,0,0x018,TPM_STS,80,,,,,
122,MOSI,READ,1,0,0x018,TPM_STS,00,,,,,
122,MISO,READ,1,0,0x018,TPM_STS,80,,,,,
123,MOSI,READ,1,0,0x01C,RESERVED,00,,,,,
123,MISO,READ,1,0,0x01C,RESERVED,80,,,,,
124,MOSI,READ,1,0,0x018,TPM_STS,00,,,,,
124,MISO,READ,1,0,0x018,TPM_STS,80,,,,,
125,MOSI,READ,1,0,0x01C,RESERVED,00,,,,,
125,MISO,READ,1,0,0x01C,RESERVED,80,,,,,
126,MOSI,READ,1,0,0x018,TPM_STS,00,,,,,
126,MISO,READ,1,0,0x018,TPM_STS,80,,,,,
127,MOSI,READ,1,0,0x018,TPM_STS,00,,,,,
127,MISO,READ,1,0,0x018,TPM_STS,80,,,,,
128,MOSI,READ,1,0,0x018,TPM_STS,00,,,,,
128,MISO,READ,1,0,0x018,TPM_STS,80,,,,,
129,MOSI,READ,1,0,0x01C,RESERVED,00,,,,,
129,MISO,READ,1,0,0x01C,RESERVED,80,,,,,
130,MOSI,READ,1,0,0x01C,RESERVED,00,,,,,
130,MISO,READ,1,0,0x01C,RESERVED,80,,,,,
131,MOSI,READ,1,0,0x018,TPM_STS,00,,,,,
131,MISO,READ,1,0,0x018,TPM_STS,80,,,,,
132,MOSI,READ,1,0,0x01C,RESERVED,00,,,,,
132,MISO,READ,1,0,0x01C,RESERVED,80,,,,,
133,MOSI,READ,1,0,0x01C,RESERVED,00,,,,,
133,MISO,READ,1,0,0x01C,RESERVED,80,,,,,
134,MOSI,READ,1,0,0x018,TPM_STS,00,,,,,
134,MISO,READ,1,0,0x018,TPM_STS,80,,,,,
135,MOSI,READ,1,0,0x01C,RESERVED,00,,,,,
135,MISO,READ,1,0,0x01C,RESERVED,80,,,,,
136,MOSI,READ,1,0,0x018,TPM_STS,00,,,,,
136,MISO,READ,1,0,0x018,TPM_STS,80,,,,,
137,MOSI,READ,1,0,0x018,TPM_STS,00,,,,,
137,MISO,READ,1,0,0x018,TPM_STS,80,,,,,
138,MOSI,READ,1,0,0x01C,RESERVED,00,,,,,
138,MISO,READ,1,0,0x01C,RESERVED,80,,,,,
139,MOSI,READ,1,0,0x018,TPM_STS,00,,,,,
139,MISO,READ,1,0,0x018,TPM_STS,80,,,,,
140,MOSI,READ,1,0,0x01C,RESERVED,00,,,,,
140,MISO,READ,1,0,0x01C,RESERVED,80,,,,,
141,MOSI,READ,1,0,0x01C,RESERVED,00,,,,,
141,MISO,READ,1,0,0x01C,RESERVED,80,,,,,
142,MOSI,READ,1,0,0x018,TPM_STS,00,,,,,
142,MISO,READ,1,0,0x018,TPM_STS,80,,,,,
143,MOSI,READ,1,0,0x01C,RESERVED,00,,,,,
143,MISO,READ,1,0,0x01C,RESERVED,80,,,,,
144,MOSI,READ,1,0,0x01C,RESERVED,00,,,,,
144,MISO,READ,1,0,0x01C,RESERVED,80,,,,,
145,MOSI,READ,1,0,0x018,TPM_STS,00,,,,,
145,MISO,READ,1,0,0x018,TPM_STS,80,,,,,
146,MOSI,READ,1,0,0x01C,RESERVED,00,,,,,
146,MISO,READ,1,0,0x01C,RESERVED,80,,,,,
147,MOSI,READ,1,0,0x018,TPM_STS,00,,,,,
