Index,Length,MOSI,MISO
297,5,C0 DC 00 1C 00,00 00 00 01 84
298,5,C0 D4 00 1C 00,00 00 00 01 84
299,5,00 DC 00 18 20,00 00 00 01 00
300,5,80 D4 00 18 00,00 00 00 01 94
301,8,C3 D4 00 18 00 00 00 00,00 00 00 01 94 1B 00 04
302,14,C9 D4 00 36 00 00 00 00 00 00 00 00 00 00,00 00 00 01 80 01 00 00 00 1B 00 00 00 00
303,5,80 D4 00 18 00,00 00 00 01 94
304,8,83 FE 00 18 00 00 00 00,00 00 00 01 94 11 00 04
266,14,C9 D4 00 24 00 00 00 00 00 00 00 00 00 00,00 00 00 01 80 01 00 00 00 1B 00 00 00 00 80 01 00 00 00 1F 00 00 00 00 01 00 00 00 06 00 00
306,5,00 D4 00 18 60,00 00 00 01 00
307,5,00 D4 00 00 20,00 00 00 01 00
308,5,80 D4 00 00 00,00 00 00 01 81
309,5,00 D4 00 00 02,00 00 00 01 00
310,5,C0 D4 00 00 00,00 00 00 01 A1
311,5,80 D4 00 18 00,00 00 00 01 04
312,5,00 D4 00 18 40,00 00 00 01 00
313,5,C0 F4 00 1C 00,00 00 00 01 44
314,8,C3 DC 00 18 00 00 00 00,00 00 00 01 44 FF 00 04
316,5,C0 D6 00 18 00,00 00 00 01 84
317,5,80 F6 00 1C 00,00 00 00 01 84
318,5,00 FE 00 18 30,00 00 00 01 00
319,5,C0 D4 00 18 00,00 00 00 01 94
320,8,83 FC 00 18 00 00 00 00,00 00 00 01 94 13 00 04
322,5,C0 D6 00 18 00,00 00 00 01 94
323,8,83 F4 00 18 00 00 00 00,00 00 00 01 94 09 00 04
321,14,89 D6 00 24 00 00 00 00 00 00 00 00 00 00,00 00 00 01 80 02 00 00 00 13 00 00 00 00 00 00 00 00 00 00 01 00 00
325,5,00 DC 00 1C 60,00 00 00 01 00
326,5,00 F6 00 00 20,00 00 00 01 00
327,5,80 DC 00 00 00,00 00 00 01 81
328,5,00 DC 00 00 03,00 00 00 01 00
329,5,C0 F6 00 00 00,00 00 00 01 A1
330,5,80 D6 00 1C 00,00 00 00 01 04
331,5,00 D4 00 18 40,00 00 00 01 00
332,5,C0 D4 00 18 00,00 00 00 01 44
333,8,83 D4 00 18 00 00 00 00,00 00 00 01 44 FF 00 04
335,5,C0 D4 00 1C 00,00 00 00 01 84
336,5,80 D4 00 18 00,00 00 00 01 84
337,5,00 D4 00 18 20,00 00 00 01 00
338,5,80 F6 00 1C 00,00 00 00 01 94
339,8,C3 F4 00 1C 00 00 00 00,00 00 00 01 94 1F 00 04
341,5,80 D4 00 18 00,00 00 00 01 94
342,8,83 F4 00 1C 00 00 00 00,00 00 00 01 94 15 00 04
340,14,CD F6 00 24 00 00 00 00 00 00 00 00 00 00,00 00 00 01 80 01 00 00 00 1F 00 00 00 00 00 00 00 00 05 00 00 00 02 00 04 03 FF FF FF 00 0B 03 FF FF FF
344,5,00 D4 00 18 40,00 00 00 01 00
345,5,00 D4 00 00 20,00 00 00 01 00
346,5,80 F4 00 00 00,00 00 00 01 81
347,5,00 DC 00 00 03,00 00 00 01 00
348,5,80 DE 00 00 00,00 00 00 01 A1
349,5,80 F4 00 18 00,00 00 00 01 04
350,5,00 D4 00 18 40,00 00 00 01 00
351,5,C0 D4 00 18 00,00 00 00 01 44
352,8,C3 D4 00 18 00 00 00 00,00 00 00 01 44 FF 00 04
353,26,17 D4 00 26 80 01 00 00 00 16 00 00 01 7A 00 00 00 07 00 00 01 92 00 00 00 01,00 00 00 01 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
354,5,80 D6 00 18 00,00 00 00 01 84
355,5,80 DC 00 18 00,00 00 00 01 84
356,5,00 FC 00 1C 20,00 00 00 01 00
357,5,80 D4 00 18 00,00 00 00 01 94
358,8,83 D4 00 18 00 00 00 00,00 00 00 01 94 1B 00 04
360,5,80 DC 00 18 00,00 00 00 01 94
361,8,C3 FE 00 1C 00 00 00 00,00 00 00 01 94 11 00 04
362,21,D8 F6 00 34 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00,00 00 00 01 01 00 00 00 06 00 00 00 01 00 00 01 12 00 00 00 18
363,5,00 D6 00 18 40,00 00 00 01 00
364,5,00 DE 00 00 30,00 00 00 01 00
365,5,80 F4 00 00 00,00 00 00 01 81
366,5,00 FE 00 00 03,00 00 00 01 00
367,5,80 FE 00 00 00,00 00 00 01 A1
368,5,C0 D4 00 1C 00,00 00 00 01 04
369,5,00 D4 00 18 40,00 00 00 01 00
370,5,C0 F4 00 1C 00,00 00 00 01 44
371,8,83 F6 00 18 00 00 00 00,00 00 00 01 44 FF 00 04
334,34,15 F4 00 26 80 01 00 00 00 1E 00 00 01 7A 00 00 00 07 00 00 00 00 00 00 00 01 80 03 00 00 00 41 80 00,00 00 00 01 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
373,5,00 FC 00 36 DF,00 00 00 01 00
374,5,C0 DC 00 1C 00,00 00 00 01 84
375,5,C0 DC 00 1C 00,00 00 00 01 84
376,5,00 FC 00 1C 30,00 00 00 01 00
377,5,C0 DC 00 18 00,00 00 00 01 94
378,8,83 DC 00 18 00 00 00 00,00 00 00 01 94 13 00 04
380,5,C0 D4 00 1C 00,00 00 00 01 94
381,8,83 FC 00 1C 00 00 00 00,00 00 00 01 94 09 00 04
359,14,89 D4 00 24 00 00 00 00 00 00 00 00 00 00,00 00 00 01 80 01 00 00 00 1B 00 00 00 00 80 02 00 00 00 13 00 00 00 00 00 00 00 00 00 00 01
383,5,00 D4 00 1C 40,00 00 00 01 00
384,5,00 D4 00 00 30,00 00 00 01 00
385,5,80 F4 00 00 00,00 00 00 01 81
386,5,00 F4 00 00 02,00 00 00 01 00
387,5,C0 D6 00 00 00,00 00 00 01 A1
388,5,80 D4 00 18 00,00 00 00 01 44
389,8,C3 DE 00 1C 00 00 00 00,00 00 00 01 44 FF 00 04
391,5,C0 DE 00 1C 00,00 00 00 01 84
392,5,C0 F4 00 18 00,00 00 00 01 84
393,5,00 D4 00 18 20,00 00 00 01 00
394,5,80 D4 00 1C 00,00 00 00 01 94
395,8,83 D4 00 1C 00 00 00 00,00 00 00 01 94 1F 00 04
397,5,C0 DE 00 1C 00,00 00 00 01 94
398,8,83 DC 00 1C 00 00 00 00,00 00 00 01 94 15 00 04
399,25,D6 D4 00 34 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00,00 00 00 01 00 00 00 00 05 00 00 00 02 00 04 03 FF FF FF 00 0B 03 FF FF FF
400,5,00 DC 00 18 40,00 00 00 01 00
401,5,00 D4 00 00 30,00 00 00 01 00
402,5,C0 D6 00 00 00,00 00 00 01 81
403,5,00 F6 00 00 03,00 00 00 01 00
404,5,80 DC 00 00 00,00 00 00 01 A1
405,5,C0 FC 00 18 00,00 00 00 01 04
406,5,00 DC 00 1C 40,00 00 00 01 00
407,5,C0 D4 00 18 00,00 00 00 01 44
408,8,83 D4 00 18 00 00 00 00,00 00 00 01 44 FF 00 04
