Index,Length,MOSI,MISO
1253,57,34 D4 00 24 80 02 00 00 00 35 00 00 01 82 00 00 00 04 00 00 00 09 40 00 00 09 00 00 00 00 00 00 00 00 01 00 04 FE 58 89 D4 CC AC 26 20 09 ED D3 27 4F 37 11 42 48 14 5A 15,00 00 00 01 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
1254,5,80 D4 00 18 00,00 00 00 01 84
1255,5,80 D4 00 18 00,00 00 00 01 84
1256,5,00 D4 00 18 20,00 00 00 01 00
1257,5,80 D4 00 1C 00,00 00 00 01 94
1258,8,83 D4 00 18 00 00 00 00,00 00 00 01 94 13 00 04
1260,5,80 D4 00 18 00,00 00 00 01 94
1261,8,83 D4 00 18 00 00 00 00,00 00 00 01 94 09 00 04
1259,14,89 D4 00 24 00 00 00 00 00 00 00 00 00 00,00 00 00 01 80 02 00 00 00 13 00 00 00 00 00 00 00 00 00 00 01 00 00
1263,5,00 D4 00 18 40,00 00 00 01 00
1264,5,00 D4 00 00 20,00 00 00 01 00
1265,5,80 D4 00 00 00,00 00 00 01 81
1266,5,00 D4 00 00 02,00 00 00 01 00
1267,5,80 D4 00 00 00,00 00 00 01 A1
1268,5,80 D4 00 18 00,00 00 00 01 04
1269,5,00 D4 00 18 40,00 00 00 01 00
1270,5,80 D4 00 1C 00,00 00 00 01 44
1271,8,83 D4 00 1C 00 00 00 00,00 00 00 01 44 FF 00 04
1272,26,15 D4 00 24 80 01 00 00 00 16 00 00 01 7A 00 00 00 05 00 00 00 00 00 00 00 01,00 00 00 01 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
1273,5,80 D4 00 18 00,00 00 00 01 84
1274,5,80 D4 00 18 00,00 00 00 01 84
1275,5,00 D4 00 18 20,00 00 00 01 00
1276,5,80 D4 00 18 00,00 00 00 01 94
1277,8,83 D4 00 18 00 00 00 00,00 00 00 01 94 1F 00 04
1279,5,80 D4 00 18 00,00 00 00 01 94
1280,8,83 D4 00 18 00 00 00 00,00 00 00 01 94 15 00 04
1278,14,89 D4 00 24 00 00 00 00 00 00 00 00 00 00,00 00 00 01 80 01 00 00 00 1F 00 00 00 00 00 00 00 00 05 00 00 00 02 00 04 03 FF FF FF 00 0B 03 FF FF FF
1282,5,00 D4 00 18 40,00 00 00 01 00
1283,5,00 D4 00 00 20,00 00 00 01 00
1284,5,80 D4 00 00 00,00 00 00 01 81
1285,5,00 D4 00 00 02,00 00 00 01 00
1286,5,80 D4 00 00 00,00 00 00 01 A1
1287,5,80 D4 00 18 00,00 00 00 01 04
1288,5,00 D4 00 18 40,00 00 00 01 00
1289,5,80 D4 00 18 00,00 00 00 01 44
1290,8,83 D4 00 18 00 00 00 00,00 00 00 01 44 FF 00 04
1291,26,15 D4 00 24 80 01 00 00 00 16 00 00 01 7A 00 00 00 06 00 00 01 12 00 00 00 01,00 00 00 01 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
1292,5,80 D4 00 18 00,00 00 00 01 84
1293,5,80 D4 00 18 00,00 00 00 01 84
1294,5,00 D4 00 18 20,00 00 00 01 00
1295,5,80 D4 00 18 00,00 00 00 01 94
1296,8,83 D4 00 18 00 00 00 00,00 00 00 01 94 1B 00 04
1298,5,80 D4 00 18 00,00 00 00 01 94
1299,8,83 D4 00 18 00 00 00 00,00 00 00 01 94 11 00 04
1297,14,89 D4 00 24 00 00 00 00 00 00 00 00 00 00,00 00 00 01 80 01 00 00 00 1B 00 00 00 00 01 00 00 00 06 00 00 00 01 00 00 01 12 00 00 00 18
1301,5,00 D4 00 18 40,00 00 00 01 00
1302,5,00 D4 00 00 20,00 00 00 01 00
1303,5,C0 D4 00 00 00,00 00 00 01 81
1304,5,00 D4 00 00 02,00 00 00 01 00
1305,5,80 D4 00 00 00,00 00 00 01 A1
1306,5,80 D4 00 18 00,00 00 00 01 04
1307,5,00 D4 00 18 40,00 00 00 01 00
1308,5,80 D4 00 1C 00,00 00 00 01 44
1309,8,83 D4 00 18 00 00 00 00,00 00 00 01 44 FF 00 04
1310,69,3F D4 00 24 80 02 00 00 00 41 00 00 01 82 00 00 00 04 00 00 00 09 40 00 00 09 00 00 00 00 00 00 00 00 01 00 0B D0 E4 FD D8 1B FF D5 F0 78 5C 66 0C 08 26 C7 80 50 1B D4 AB 87 E9 95 85 C6 A2 85 33 7A B6 36 C5,00 00 00 01 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
1312,5,80 D4 00 18 00,00 00 00 01 84
1313,5,80 D4 00 18 00,00 00 00 01 84
1314,5,00 D4 00 18 20,00 00 00 01 00
1315,5,80 D4 00 18 00,00 00 00 01 94
1316,8,83 D4 00 18 00 00 00 00,00 00 00 01 94 13 00 04
1318,5,80 D4 00 18 00,00 00 00 01 94
1319,8,83 D4 00 18 00 00 00 00,00 00 00 01 94 09 00 04
1317,14,89 D4 00 24 00 00 00 00 00 00 00 00 00 00,00 00 00 01 80 02 00 00 00 13 00 00 00 00 00 00 00 00 00 00 01 00 00
1321,5,00 D4 00 18 40,00 00 00 01 00
1322,5,00 D4 00 00 20,00 00 00 01 00
1323,5,80 D4 00 00 00,00 00 00 01 81
1324,5,00 D4 00 00 02,00 00 00 01 00
1325,5,80 D4 00 00 00,00 00 00 01 A1
1326,5,80 D4 00 18 00,00 00 00 01 44
1327,8,83 D4 00 18 00 00 00 00,00 00 00 01 44 FF 00 04
1328,26,15 D4 00 24 80 01 00 00 00 16 00 00 01 7A 00 00 00 05 00 00 00 00 00 00 00 01,00 00 00 01 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
1329,5,80 D4 00 18 00,00 00 00 01 84
1330,5,80 D4 00 18 00,00 00 00 01 84
1331,5,00 D4 00 18 20,00 00 00 01 00
1332,5,80 D4 00 18 00,00 00 00 01 94
1333,8,83 D4 00 18 00 00 00 00,00 00 00 01 94 1F 00 04
1335,5,80 D4 00 18 00,00 00 00 01 94
1336,8,83 D4 00 18 00 00 00 00,00 00 00 01 94 15 00 04
1334,14,89 D4 00 24 00 00 00 00 00 00 00 00 00 00,00 00 00 01 80 01 00 00 00 1F 00 00 00 00 00 00 00 00 05 00 00 00 02 00 04 03 FF FF FF 00 0B 03 FF FF FF
1338,5,00 D4 00 18 40,00 00 00 01 00
1339,5,00 D4 00 00 20,00 00 00 01 00
1340,5,80 D4 00 00 00,00 00 00 01 81
1341,5,00 D4 00 00 02,00 00 00 01 00
1342,5,80 D4 00 00 00,00 00 00 01 A1
1343,5,80 D4 00 18 00,00 00 00 01 04
1344,5,00 D4 00 18 40,00 00 00 01 00
1345,5,80 D4 00 18 00,00 00 00 01 44
1346,8,83 D6 00 18 00 00 00 00,00 00 00 01 44 FF 00 04
1347,26,15 D4 00 24 80 01 00 00 00 16 00 00 01 7A 00 00 00 06 00 00 01 12 00 00 00 01,00 00 00 01 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
1348,5,80 D4 00 18 00,00 00 00 01 84
1349,5,80 D4 00 18 00,00 00 00 01 84
1350,5,00 D4 00 18 20,00 00 00 01 00
1351,5,80 D4 00 18 00,00 00 00 01 94
1352,8,83 D4 00 18 00 00 00 00,00 00 00 01 94 1B 00 04
1354,5,80 D4 00 18 00,00 00 00 01 94
1355,8,83 F4 00 18 00 00 00 00,00 00 00 01 94 11 00 04
1353,14,89 D4 00 24 00 00 00 00 00 00 00 00 00 00,00 00 00 01 80 01 00 00 00 1B 00 00 00 00 01 00 00 00 06 00 00 00 01 00 00 01 12 00 00 00 18
1357,5,00 D4 00 18 40,00 00 00 01 00
1358,5,00 D4 00 00 20,00 00 00 01 00
1359,5,C0 D4 00 00 00,00 00 00 01 81
1360,5,00 D4 00 00 02,00 00 00 01 00
1361,5,80 D4 00 00 00,00 00 00 01 A1
1362,5,80 D4 00 18 00,00 00 00 01 04
1363,5,00 D4 00 18 40,00 00 00 01 00
1364,5,80 D4 00 18 00,00 00 00 01 44
1365,8,83 D4 00 18 00 00 00 00,00 00 00 01 44 FF 00 04
1366,57,34 D4 00 24 80 02 00 00 00 35 00 00 01 82 00 00 00 01 00 00 00 09 40 00 00 09 00 00 00 00 00 00 00 00 01 00 04 50 EB 6B D1 00 C4 8E 81 64 4D 66 6A 43 77 25 F4 9C 6A ED 3C,00 00 00 01 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
1367,5,80 D4 00 18 00,00 00 00 01 84
1368,5,80 D4 00 18 00,00 00 00 01 84
1369,5,00 D4 00 18 20,00 00 00 01 00
1370,5,80 D4 00 18 00,00 00 00 01 94
1371,8,83 D4 00 18 00 00 00 00,00 00 00 01 94 13 00 04
1373,5,80 D4 00 18 00,00 00 00 01 94
1374,8,83 D4 00 18 00 00 00 00,00 00 00 01 94 09 00 04
1372,14,89 D4 00 24 00 00 00 00 00 00 00 00 00 00,00 00 00 01 80 02 00 00 00 13 00 00 00 00 00 00 00 00 00 00 01 00 00
1376,5,00 D4 00 18 40,00 00 00 01 00
1377,5,00 D4 00 00 20,00 00 00 01 00
1378,5,80 D4 00 00 00,00 00 00 01 81
1379,5,00 D4 00 00 02,00 00 00 01 00
1380,5,80 D4 00 00 00,00 00 00 01 A1
1381,5,80 D4 00 18 00,00 00 00 01 04
1382,5,00 D4 00 18 40,00 00 00 01 00
1383,5,80 F6 00 18 00,00 00 00 01 44
1384,8,83 D4 00 18 00 00 00 00,00 00 00 01 44 FF 00 04
1385,26,15 D4 00 24 80 01 00 00 00 16 00 00 01 7A 00 00 00 05 00 00 00 00 00 00 00 01,00 00 00 01 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
1386,5,80 D4 00 18 00,00 00 00 01 84
1387,5,80 D4 00 18 00,00 00 00 01 84
1388,5,00 D4 00 18 20,00 00 00 01 00
1389,5,80 D4 00 18 00,00 00 00 01 94
1390,8,83 D4 00 18 00 00 00 00,00 00 00 01 94 1F 00 04
1392,5,80 D4 00 18 00,00 00 00 01 94
1393,8,83 D4 00 18 00 00 00 00,00 00 00 01 94 15 00 04
1391,14,89 D4 00 24 00 00 00 00 00 00 00 00 00 00,00 00 00 01 80 01 00 00 00 1F 00 00 00 00 00 00 00 00 05 00 00 00 02 00 04 03 FF FF FF 00 0B 03 FF FF FF
1395,5,00 D4 00 18 40,00 00 00 01 00
1396,5,00 D4 00 00 20,00 00 00 01 00
1397,5,80 D4 00 00 00,00 00 00 01 81
1398,5,00 D4 00 00 02,00 00 00 01 00
1399,5,80 D4 00 00 00,00 00 00 01 A1
1400,5,80 D4 00 18 00,00 00 00 01 04
1401,5,00 D4 00 18 40,00 00 00 01 00
1402,5,80 D4 00 18 00,00 00 00 01 44
1403,8,83 D4 00 18 00 00 00 00,00 00 00 01 44 FF 00 04
1404,26,15 D4 00 24 80 01 00 00 00 16 00 00 01 7A 00 00 00 06 00 00 01 12 00 00 00 01,00 00 00 01 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
1405,5,80 D4 00 18 00,00 00 00 01 84
1406,5,80 D4 00 18 00,00 00 00 01 84
1407,5,00 D4 00 18 20,00 00 00 01 00
1408,5,80 D4 00 18 00,00 00 00 01 94
1409,8,83 D4 00 18 00 00 00 00,00 00 00 01 94 1B 00 04
1411,5,80 D4 00 18 00,00 00 00 01 94
1412,8,83 D4 00 18 00 00 00 00,00 00 00 01 94 11 00 04
1410,14,89 D4 00 24 00 00 00 00 00 00 00 00 00 00,00 00 00 01 80 01 00 00 00 1B 00 00 00 00 01 00 00 00 06 00 00 00 01 00 00 01 12 00 00 00 18
1414,5,00 D4 00 18 40,00 00 00 01 00
1415,5,00 D4 00 00 20,00 00 00 01 00
1416,5,80 D4 00 00 00,00 00 00 01 81
1417,5,00 D4 00 00 02,00 00 00 01 00
1418,5,80 D4 00 00 00,00 00 00 01 A1
1419,5,80 D4 00 18 00,00 00 00 01 04
1420,5,00 D4 00 18 40,00 00 00 01 00
1421,5,80 D4 00 18 00,00 00 00 01 44
1422,8,83 D4 00 18 00 00 00 00,00 00 00 01 44 FF 00 04
1425,5,80 D4 00 18 00,00 00 00 01 84
1426,5,80 D4 00 18 00,00 00 00 01 84
1427,5,00 D4 00 18 20,00 00 00 01 00
1428,5,80 D4 00 18 00,00 00 00 01 94
1429,8,83 D4 00 18 00 00 00 00,00 00 00 01 94 13 00 04
1431,5,80 D4 00 18 00,00 00 00 01 94
1432,8,83 D4 00 18 00 00 00 00,00 00 00 01 94 09 00 04
1430,14,89 D4 00 24 00 00 00 00 00 00 00 00 00 00,00 00 00 01 80 02 00 00 00 13 00 00 00 00 00 00 00 00 00 00 01 00 00
1434,5,00 D4 00 18 40,00 00 00 01 00
1435,5,00 D4 00 00 20,00 00 00 01 00
1436,5,80 D4 00 00 00,00 00 00 01 81
1437,5,00 D4 00 00 02,00 00 00 01 00
1438,5,80 D4 00 00 00,00 00 00 01 A1
1439,5,80 D4 00 18 00,00 00 00 01 04
1440,5,00 D4 00 18 40,00 00 00 01 00
1441,5,80 D4 00 18 00,00 00 00 01 44
1442,8,83 D4 00 18 00 00 00 00,00 00 00 01 44 FF 00 04
1443,26,15 D4 00 24 80 01 00 00 00 16 00 00 01 7A 00 00 00 05 00 00 00 00 00 00 00 01,00 00 00 01 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
1444,5,80 D4 00 18 00,00 00 00 01 84
1445,5,80 D4 00 18 00,00 00 00 01 84
1446,5,00 D4 00 1C 20,00 00 00 01 00
1447,5,80 D4 00 18 00,00 00 00 01 94
1448,8,83 D4 00 18 00 00 00 00,00 00 00 01 94 1F 00 04
1450,5,80 D4 00 18 00,00 00 00 01 94
1451,8,83 D4 00 18 00 00 00 00,00 00 00 01 94 15 00 04
1449,14,89 D4 00 24 00 00 00 00 00 00 00 00 00 00,00 00 00 01 80 01 00 00 00 1F 00 00 00 00 00 00 00 00 05 00 00 00 02 00 04 03 FF FF FF 00 0B 03 FF FF FF
1453,5,00 D4 00 18 40,00 00 00 01 00
1454,5,00 D4 00 00 20,00 00 00 01 00
1455,5,80 D4 00 00 00,00 00 00 01 81
1456,5,00 F4 00 00 02,00 00 00 01 00
1457,5,80 D4 00 00 00,00 00 00 01 A1
1458,5,80 D4 00 18 00,00 00 00 01 04
1459,5,00 D4 00 18 40,00 00 00 01 00
1460,5,80 D4 00 18 00,00 00 00 01 44
1461,8,83 D4 00 18 00 00 00 00,00 00 00 01 44 FF 00 04
1462,26,15 D4 00 24 80 01 00 00 00 16 00 00 01 7A 00 00 00 06 00 00 01 12 00 00 00 01,00 00 00 01 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
1463,5,80 D4 00 18 00,00 00 00 01 84
1464,5,80 D4 00 18 00,00 00 00 01 84
1465,5,00 D4 00 18 20,00 00 00 01 00
1466,5,80 DC 00 18 00,00 00 00 01 94
1467,8,83 D4 00 18 00 00 00 00,00 00 00 01 94 1B 00 04
1469,5,80 D4 00 18 00,00 00 00 01 94
1470,8,83 D4 00 18 00 00 00 00,00 00 00 01 94 11 00 04
1468,14,89 D4 00 24 00 00 00 00 00 00 00 00 00 00,00 00 00 01 80 01 00 00 00 1B 00 00 00 00 01 00 00 00 06 00 00 00 01 00 00 01 12 00 00 00 18
1472,5,00 D4 00 18 40,00 00 00 01 00
1473,5,00 D4 00 00 20,00 00 00 01 00
1474,5,80 D4 00 00 00,00 00 00 01 81
1475,5,00 F4 00 00 02,00 00 00 01 00
1476,5,80 D4 00 00 00,00 00 00 01 A1
1477,5,80 D4 00 18 00,00 00 00 01 04
1478,5,00 D4 00 18 40,00 00 00 01 00
1479,5,80 D4 00 18 00,00 00 00 01 44
1480,8,83 D4 00 18 00 00 00 00,00 00 00 01 44 FF 00 04
1482,5,80 D4 00 18 00,00 00 00 01 84
1483,5,80 D4 00 18 00,00 00 00 01 84
1484,5,00 D4 00 18 20,00 00 00 01 00
1485,5,80 D4 00 18 00,00 00 00 01 94
1486,8,83 D4 00 18 00 00 00 00,00 00 00 01 94 13 00 04
1488,5,80 D4 00 18 00,00 00 00 01 94
1489,8,83 D4 00 18 00 00 00 00,00 00 00 01 94 09 00 04
1487,14,89 D4 00 24 00 00 00 00 00 00 00 00 00 00,00 00 00 01 80 02 00 00 00 13 00 00 00 00 00 00 00 00 00 00 01 00 00
1491,5,00 D4 00 18 40,00 00 00 01 00
1492,5,00 D4 00 00 20,00 00 00 01 00
1493,5,80 D4 00 00 00,00 00 00 01 81
1494,5,00 D4 00 00 02,00 00 00 01 00
1495,5,80 D4 00 00 00,00 00 00 01 A1
1496,5,80 D4 00 18 00,00 00 00 01 04
1497,5,00 D4 00 18 40,00 00 00 01 00
1498,5,80 D4 00 18 00,00 00 00 01 44
1499,8,83 D4 00 18 00 00 00 00,00 00 00 01 44 FF 00 04
1500,26,15 D4 00 24 80 01 00 00 00 16 00 00 01 7A 00 00 00 05 00 00 00 00 00 00 00 01,00 00 00 01 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
1501,5,80 D4 00 18 00,00 00 00 01 84
1502,5,80 D4 00 18 00,00 00 00 01 84
1503,5,00 D4 00 18 20,00 00 00 01 00
1504,5,80 D4 00 18 00,00 00 00 01 94
1505,8,83 D4 00 18 00 00 00 00,00 00 00 01 94 1F 00 04
1507,5,80 D4 00 18 00,00 00 00 01 94
1508,8,83 D4 00 18 00 00 00 00,00 00 00 01 94 15 00 04
1506,14,89 D4 00 24 00 00 00 00 00 00 00 00 00 00,00 00 00 01 80 01 00 00 00 1F 00 00 00 00 00 00 00 00 05 00 00 00 02 00 04 03 FF FF FF 00 0B 03 FF FF FF
1510,5,00 D4 00 18 40,00 00 00 01 00
1511,5,00 D4 00 00 20,00 00 00 01 00
1512,5,80 D4 00 00 00,00 00 00 01 81
1513,5,00 D4 00 00 02,00 00 00 01 00
1514,5,80 D4 00 00 00,00 00 00 01 A1
1515,5,80 D4 00 18 00,00 00 00 01 04
1516,5,00 D4 00 18 40,00 00 00 01 00
1517,5,80 D4 00 18 00,00 00 00 01 44
1518,8,83 D4 00 18 00 00 00 00,00 00 00 01 44 FF 00 04
1519,26,15 D4 00 24 80 01 00 00 00 16 00 00 01 7A 00 00 00 06 00 00 01 12 00 00 00 01,00 00 00 01 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
1520,5,80 D4 00 18 00,00 00 00 01 84
1521,5,80 D4 00 18 00,00 00 00 01 84
1522,5,00 D4 00 18 20,00 00 00 01 00
1523,5,80 D4 00 18 00,00 00 00 01 94
1524,8,83 D4 00 18 00 00 00 00,00 00 00 01 94 1B 00 04
1526,5,80 D4 00 18 00,00 00 00 01 94
1527,8,83 D4 00 18 00 00 00 00,00 00 00 01 94 11 00 04
1525,14,89 D4 00 24 00 00 00 00 00 00 00 00 00 00,00 00 00 01 80 01 00 00 00 1B 00 00 00 00 01 00 00 00 06 00 00 00 01 00 00 01 12 00 00 00 18
1529,5,00 D4 00 18 40,00 00 00 01 00
1530,5,00 D4 00 00 20,00 00 00 01 00
1531,5,80 D4 00 00 00,00 00 00 01 81
1532,5,00 D4 00 00 02,00 00 00 01 00
1533,5,80 D4 00 00 00,00 00 00 01 A1
1534,5,80 D4 00 18 00,00 00 00 01 04
1535,5,00 D4 00 18 40,00 00 00 01 00
1536,5,80 D4 00 18 00,00 00 00 01 44
1537,8,83 D4 00 18 00 00 00 00,00 00 00 01 44 FF 00 04
1538,69,3F D4 00 24 80 02 00 00 00 41 00 00 01 82 00 00 00 01 00 00 00 09 40 00 00 09 00 00 00 00 00 00 00 00 01 80 0B 6E 2B 05 73 E8 AD 12 1B F6 3E 6B 26 E2 EB E2 86 DD 26 A6 EA 43 8C 18 0B DB FB DF 4A 52 5A 7F F5,00 00 00 01 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
1540,5,80 D4 00 18 00,00 00 00 01 84
1541,5,80 D4 00 18 00,00 00 00 01 84
1542,5,00 D4 00 18 20,00 00 00 01 00
1543,5,80 D4 00 18 00,00 00 00 01 94
1544,8,83 D4 00 18 00 00 00 00,00 00 00 01 94 13 00 04
1546,5,80 D4 00 1C 00,00 00 00 01 94
1547,8,83 D4 00 18 00 00 00 00,00 00 00 01 94 09 00 04
1545,14,89 D4 00 24 00 00 00 00 00 00 00 00 00 00,00 00 00 01 80 02 00 00 00 13 00 00 00 00 00 00 00 00 00 00 01 00 00
1549,5,00 D4 00 18 40,00 00 00 01 00
1550,5,00 D4 00 00 20,00 00 00 01 00
1551,5,80 D4 00 00 00,00 00 00 01 81
1552,5,00 D4 00 00 02,00 00 00 01 00
1553,5,80 D4 00 00 00,00 00 00 01 A1
1554,5,80 D4 00 18 00,00 00 00 01 04
1555,5,00 D4 00 18 40,00 00 00 01 00
1556,5,80 D4 00 18 00,00 00 00 01 44
1557,8,83 D4 00 18 00 00 00 00,00 00 00 01 44 FF 00 04
1558,26,15 D4 00 24 80 01 00 00 00 16 00 00 01 7A 00 00 00 05 00 00 00 00 00 00 00 01,00 00 00 01 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
1559,5,80 D4 00 18 00,00 00 00 01 84
1560,5,80 D4 00 18 00,00 00 00 01 84
1561,5,00 D4 00 18 20,00 00 00 01 00
1562,5,80 D4 00 18 00,00 00 00 01 94
1563,8,83 D4 00 18 00 00 00 00,00 00 00 01 94 1F 00 04
1565,5,80 D4 00 18 00,00 00 00 01 94
1566,8,83 D4 00 18 00 00 00 00,00 00 00 01 94 15 00 04
1564,14,89 D4 00 24 00 00 00 00 00 00 00 00 00 00,00 00 00 01 80 01 00 00 00 1F 00 00 00 00 00 00 00 00 05 00 00 00 02 00 04 03 FF FF FF 00 0B 03 FF FF FF
1568,5,00 D4 00 18 40,00 00 00 01 00
1569,5,00 D4 00 00 20,00 00 00 01 00
1570,5,80 D4 00 00 00,00 00 00 01 81
1571,5,00 D4 00 00 02,00 00 00 01 00
1572,5,80 D4 00 00 00,00 00 00 01 A1
1573,5,80 D4 00 18 00,00 00 00 01 04
1574,5,00 D4 00 18 40,00 00 00 01 00
1575,5,80 D4 00 18 00,00 00 00 01 44
1576,8,83 D4 00 18 00 00 00 00,00 00 00 01 44 FF 00 04
1577,26,15 D4 00 24 80 01 00 00 00 16 00 00 01 7A 00 00 00 06 00 00 01 12 00 00 00 01,00 00 00 01 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
1578,5,80 D4 00 18 00,00 00 00 01 84
1579,5,80 D4 00 18 00,00 00 00 01 84
1580,5,00 D4 00 18 20,00 00 00 01 00
1581,5,80 D4 00 18 00,00 00 00 01 94
1582,8,83 D4 00 18 00 00 00 00,00 00 00 01 94 1B 00 04
1584,5,80 D4 00 18 00,00 00 00 01 94
1585,8,83 D4 00 18 00 00 00 00,00 00 00 01 94 11 00 04
1583,14,89 D4 00 24 00 00 00 00 00 00 00 00 00 00,00 00 00 01 80 01 00 00 00 1B 00 00 00 00 01 00 00 00 06 00 00 00 01 00 00 01 12 00 00 00 18
1587,5,00 D4 00 18 40,00 00 00 01 00
1588,5,00 D4 00 00 20,00 00 00 01 00
1589,5,80 D4 00 00 00,00 00 00 01 81
1590,5,00 D4 00 00 02,00 00 00 01 00
1591,5,80 D4 00 00 00,00 00 00 01 A1
1592,5,80 D4 00 18 00,00 00 00 01 04
1593,5,00 D4 00 18 40,00 00 00 01 00
1594,5,80 D4 00 18 00,00 00 00 01 44
1595,8,83 D4 00 18 00 00 00 00,00 00 00 01 44 FF 00 04
1596,57,34 D4 00 24 80 02 00 00 00 35 00 00 01 82 00 00 00 04 00 00 00 09 40 00 00 09 00 00 00 00 00 00 00 00 01 00 04 CD 0F DB 45 31 A6 EC 41 BE 27 53 BA 04 26 37 D6 E5 F7 F2 56,00 00 00 01 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
1597,5,80 D4 00 18 00,00 00 00 01 84
1598,5,80 D4 00 18 00,00 00 00 01 84
1599,5,00 D4 00 18 20,00 00 00 01 00
1600,5,80 D4 00 18 00,00 00 00 01 94
1601,8,83 D4 00 18 00 00 00 00,00 00 00 01 94 13 00 04
1603,5,80 D4 00 18 00,00 00 00 01 94
1604,8,83 D4 00 18 00 00 00 00,00 00 00 01 94 09 00 04
1602,14,89 D4 00 24 00 00 00 00 00 00 00 00 00 00,00 00 00 01 80 02 00 00 00 13 00 00 00 00 00 00 00 00 00 00 01 00 00
1606,5,00 D4 00 18 40,00 00 00 01 00
1607,5,00 D4 00 00 20,00 00 00 01 00
1608,5,80 D4 00 00 00,00 00 00 01 81
1609,5,00 D4 00 00 02,00 00 00 01 00
1610,5,80 D4 00 00 00,00 00 00 01 A1
1611,5,80 D4 00 18 00,00 00 00 01 04
1612,5,00 D4 00 18 40,00 00 00 01 00
1613,5,80 D4 00 18 00,00 00 00 01 44
1614,8,83 D4 00 18 00 00 00 00,00 00 00 01 44 FF 00 04
1615,26,15 D4 00 24 80 01 00 00 00 16 00 00 01 7A 00 00 00 05 00 00 00 00 00 00 00 01,00 00 00 01 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
1616,5,80 D4 00 18 00,00 00 00 01 84
1617,5,80 D4 00 18 00,00 00 00 01 84
1618,5,00 D4 00 18 20,00 00 00 01 00
1619,5,80 D4 00 18 00,00 00 00 01 94
1620,8,83 D4 00 18 00 00 00 00,00 00 00 01 94 1F 00 04
1622,5,80 D4 00 18 00,00 00 00 01 94
1623,8,83 D4 00 18 00 00 00 00,00 00 00 01 94 15 00 04
1621,14,89 D4 00 24 00 00 00 00 00 00 00 00 00 00,00 00 00 01 80 01 00 00 00 1F 00 00 00 00 00 00 00 00 05 00 00 00 02 00 04 03 FF FF FF 00 0B 03 FF FF FF
1625,5,00 D4 00 18 40,00 00 00 01 00
1626,5,00 D4 00 00 20,00 00 00 01 00
1627,5,80 D4 00 00 00,00 00 00 01 81
1628,5,00 D4 00 00 02,00 00 00 01 00
1629,5,80 D4 00 00 00,00 00 00 01 A1
1630,5,80 D4 00 18 00,00 00 00 01 04
1631,5,00 D4 00 18 40,00 00 00 01 00
1632,5,80 D4 00 18 00,00 00 00 01 44
1633,8,83 D4 00 18 00 00 00 00,00 00 00 01 44 FF 00 04
1634,26,15 D4 00 24 80 01 00 00 00 16 00 00 01 7A 00 00 00 06 00 00 01 12 00 00 00 01,00 00 00 01 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
1635,5,80 D4 00 18 00,00 00 00 01 84
1636,5,80 D4 00 18 00,00 00 00 01 84
1637,5,00 D4 00 18 20,00 00 00 01 00
1638,5,80 D4 00 18 00,00 00 00 01 94
1639,8,83 D4 00 18 00 00 00 00,00 00 00 01 94 1B 00 04
